SOUTH LAWNDALE,EL MILAGRO,1
SOUTH LAWNDALE,FRUTERIA EL MERCADO,1
SOUTH LAWNDALE,GAYTAN GROCERY STORE,1
SOUTH LAWNDALE,LA JALISCIENCE,1
SOUTH LAWNDALE,LA MERCED INC,1
SOUTH LAWNDALE,"LA NUEVA IMAGEN GROCERY, INC.",1
SOUTH LAWNDALE,MINI MERCADO LA BETANIA,1
SOUTH LAWNDALE,RIGO'S GROCERY,1
SOUTH LAWNDALE,RODRIGUEZ FRUITS & VEGETABLE,1
SOUTH LAWNDALE,SUPER MERCADO LA CHIQUITA,1
SOUTH LAWNDALE,SUPERMERCADO ALEX,1
SOUTH LAWNDALE,SUPERMERCADO GELA'S,1
SOUTH LAWNDALE,SUPERMERCADO GUADALAJARA #2,1
SOUTH LAWNDALE,SUPERMERCADO GUERRERO,1
SOUTH LAWNDALE,SUPERMERCADO LA CHIQUTIA # 4,1
SOUTH LAWNDALE,Supermercado Santos,1
SOUTH LAWNDALE,WALGREENS,1
SOUTH SHORE,DOMINICK'S # 130/1130,1
SOUTH SHORE,FAIRWAY FOOD,1
SOUTH SHORE,JEWEL,1
SOUTH SHORE,"S & K FOOD & LIQUOR, INC.",1
SOUTH SHORE,SAVE-A-LOT,1
SOUTH SHORE,SOUTH SHORE FOOD MARKET INC.,1
SOUTH SHORE,The Unit,1
UPTOWN,ALDI,1
UPTOWN,BROADWAY SUPERMARKET,1
UPTOWN,CLARENDON FOOD MART INC,1
UPTOWN,HOA NOM CO,1
UPTOWN,IMPERIAL TOWER MARKET,1
UPTOWN,JEWEL,1
UPTOWN,LAKE VIEW FOODS INC,1
UPTOWN,MAKOLA AFRICAN SUPERMARKET #2,1
UPTOWN,"MY RANCH, INC.",1
UPTOWN,OLD WORLD MARKET,1
UPTOWN,ORIENTAL ASIA MARKET INC.,1
UPTOWN,S L PANTRY & GRILL,1
UPTOWN,TAI NAM CORPORATION,1
UPTOWN,THRIFTY FOOD,1
UPTOWN,VIET HOA PLAZA,1
WASHINGTON HEIGHTS,ASHLAND FOOD AND LIQUORS,1
WASHINGTON HEIGHTS,JEWEL,1
WASHINGTON PARK,JARDAN FOOD & LIQUOR,1
WASHINGTON PARK,MR G'S FOOD & LIQUOR,1
WASHINGTON PARK,Save-A-Lot #882,1
WEST ELSDON,CERMAK PRODUCE,1
WEST ELSDON,JEWEL,1
WEST ELSDON,WEST LAWN FOODS,1
WEST ENGLEWOOD,ADA FOODS,1
WEST ENGLEWOOD,BUSY BEE SUPERMARKET,1
WEST ENGLEWOOD,D & A FOOD & LIQUOR,1
WEST ENGLEWOOD,EDDIE'S FOOD MART,1
WEST ENGLEWOOD,EXTRA VALUE FOOD & LIQUOR,1
WEST ENGLEWOOD,Food 4 Less Midwest,1
WEST ENGLEWOOD,PETE'S MEAT & GROCERY #2,1
WEST ENGLEWOOD,RAINBOW FINER FOOD & LIQUOR,1
WEST ENGLEWOOD,RAINBOW GROCERY,1
WEST ENGLEWOOD,STEVE FOOD & LIQUOR,1
WEST ENGLEWOOD,"SUPER DOLLAR AND UP 4, INC.",1
WEST GARFIELD PARK,ALDI,1
WEST GARFIELD PARK,CRESPO'S FOOD MART,1
WEST GARFIELD PARK,ONE STOP,1
WEST GARFIELD PARK,PERSONAL LIQUORS INC,1
WEST GARFIELD PARK,SAVE-A-LOT,1
WEST GARFIELD PARK,Three Stars Liquors,1
WEST GARFIELD PARK,WASHINGTON GROCERY,1
WEST LAWN,DISCOUNT PANTRY CORPORATION,1
WEST LAWN,K BUENA,1
WEST LAWN,SAVE-A-LOT,1
WEST LAWN,SUPERMERCADO TEPECOA GUERRERO,1
WEST PULLMAN,ALDI,1
WEST PULLMAN,CARNICERIA EL PORVENIR,1
WEST PULLMAN,NANCY FOODS INC,1
WEST PULLMAN,THE WAREHOUSE,1
WEST PULLMAN,"THREE ROOSTERS, INC.",1
WEST RIDGE,ALDI,1
WEST RIDGE,AWAMI BAZAAR & ZABIHA MEAT,1
WEST RIDGE,CHICAGO GROCERS,1
WEST RIDGE,DOMINICK'S,1
WEST RIDGE,FARM SUPER MARKET,1
WEST RIDGE,FRESH FARMS INTERNATIONAL,1
WEST RIDGE,KAMDAR PLAZA INC,1
WEST RIDGE,KOL TUV KOSHER FOODS INC,1
WEST RIDGE,MEHRAB ZABIHA MEAT & TOBACCO,1
WEST RIDGE,"MORELIA SUPERMARKET, INC.",1
WEST RIDGE,NAYAB MART,1
WEST RIDGE,NOOR MEAT,1
WEST RIDGE,PAR BIRDIE FOODS,1
WEST RIDGE,PATEL BROS,1
WEST RIDGE,PETERSON FOOD MART,1
WEST RIDGE,QUICK STOP FOOD MART,1
WEST RIDGE,THE FISH KEG INC,1
WEST RIDGE,WORLD FRESH MARKET,1
WEST TOWN,ALDI,1
WEST TOWN,BARI,1
WEST TOWN,CAESAR'S FOODS INC,1
WEST TOWN,CARNICERIA GUANJUATO #3,1
WEST TOWN,CERMAK PRODUCE NO.4,1
WEST TOWN,DOMINICK'S FINER FOODS - STORE # 2775,1
WEST TOWN,EL  PASEO  BORICUA,1
WEST TOWN,JEWEL,1
WEST TOWN,Municipal Foods,1
WEST TOWN,PUERTO RICO FOOD & LIQUORS,1
WEST TOWN,"RICH'S DELI & LIQUOR, INC",1
WEST TOWN,STANLEY'S,1
WEST TOWN,THREE BROTHER,1
WEST TOWN,TIERRA CALIENTE MARKET,1
WOODLAWN,ALDI,1
WOODLAWN,COTTAGE GROVE FOOD MART,1
WOODLAWN,FRESH BUY FOODS INC,1
WOODLAWN,MLB FOOD,1
WOODLAWN,OSAMA FOOD MART,1
